date,overlay_id,base_fund_id,family,method,variant,gross_return,turnover,transaction_cost,net_return,is_rebalance
2021-01-04,equity_equal_weight__plain_vader_naive,equity_equal_weight,Equity,Equal Weight,plain_vader_naive,-0.013964993735134112,0,0,-0.013964993735134157,True
2021-01-04,equity_equal_weight__finance_vader_naive,equity_equal_weight,Equity,Equal Weight,finance_vader_naive,-0.01389932850011393,0,0,-0.013899328500113883,True
2021-01-04,equity_equal_weight__evidence_aware_finance,equity_equal_weight,Equity,Equal Weight,evidence_aware_finance,-0.013828928908493699,0,0,-0.013828928908493743,True
2021-01-04,equity_minimum_variance__plain_vader_naive,equity_minimum_variance,Equity,Minimum Variance,plain_vader_naive,0.0020983400918410818,0,0,0.0020983400918410666,True
2021-01-04,equity_minimum_variance__finance_vader_naive,equity_minimum_variance,Equity,Minimum Variance,finance_vader_naive,0.0020987747524179473,0,0,0.0020987747524179312,True
2021-01-04,equity_minimum_variance__evidence_aware_finance,equity_minimum_variance,Equity,Minimum Variance,evidence_aware_finance,0.0022484380063311576,0,0,0.0022484380063312326,True
2021-01-04,equity_maximum_sharpe__plain_vader_naive,equity_maximum_sharpe,Equity,Maximum Sharpe,plain_vader_naive,-0.002771476265176221,0,0,-0.0027714762651762648,True
2021-01-04,equity_maximum_sharpe__finance_vader_naive,equity_maximum_sharpe,Equity,Maximum Sharpe,finance_vader_naive,-0.0027838080147698121,0,0,-0.0027838080147698507,True
2021-01-04,equity_maximum_sharpe__evidence_aware_finance,equity_maximum_sharpe,Equity,Maximum Sharpe,evidence_aware_finance,-0.0030337723783389965,0,0,-0.0030337723783390169,True
2021-01-04,equity_risk_parity__plain_vader_naive,equity_risk_parity,Equity,Risk Parity,plain_vader_naive,-0.012263373388193647,0,0,-0.01226337338819361,True
2021-01-04,equity_risk_parity__finance_vader_naive,equity_risk_parity,Equity,Risk Parity,finance_vader_naive,-0.012205291652302327,0,0,-0.01220529165230233,True
2021-01-04,equity_risk_parity__evidence_aware_finance,equity_risk_parity,Equity,Risk Parity,evidence_aware_finance,-0.012084190665248663,0,0,-0.012084190665248684,True
2021-01-04,combined_equal_weight__plain_vader_naive,combined_equal_weight,Combined,Equal Weight,plain_vader_naive,-0.0041106960737417354,0,0,-0.0041106960737417042,True
2021-01-04,combined_equal_weight__finance_vader_naive,combined_equal_weight,Combined,Equal Weight,finance_vader_naive,-0.0040559750445582562,0,0,-0.0040559750445582354,True
2021-01-04,combined_equal_weight__evidence_aware_finance,combined_equal_weight,Combined,Equal Weight,evidence_aware_finance,-0.003997308718208064,0,0,-0.0039973087182080258,True
2021-01-04,combined_minimum_variance__plain_vader_naive,combined_minimum_variance,Combined,Minimum Variance,plain_vader_naive,0.0020982955148172978,0,0,0.0020982955148172167,True
2021-01-04,combined_minimum_variance__finance_vader_naive,combined_minimum_variance,Combined,Minimum Variance,finance_vader_naive,0.0020987301903509178,0,0,0.0020987301903510058,True
2021-01-04,combined_minimum_variance__evidence_aware_finance,combined_minimum_variance,Combined,Minimum Variance,evidence_aware_finance,0.0022483916587122572,0,0,0.0022483916587121566,True
2021-01-04,combined_maximum_sharpe__plain_vader_naive,combined_maximum_sharpe,Combined,Maximum Sharpe,plain_vader_naive,0.026913445309301065,0,0,0.026913445309300954,True
2021-01-04,combined_maximum_sharpe__finance_vader_naive,combined_maximum_sharpe,Combined,Maximum Sharpe,finance_vader_naive,0.026887560728625727,0,0,0.026887560728625637,True
2021-01-04,combined_maximum_sharpe__evidence_aware_finance,combined_maximum_sharpe,Combined,Maximum Sharpe,evidence_aware_finance,0.026603235946950892,0,0,0.026603235946950798,True
2021-01-04,combined_risk_parity__plain_vader_naive,combined_risk_parity,Combined,Risk Parity,plain_vader_naive,-0.0058115035540588621,0,0,-0.0058115035540589055,True
2021-01-04,combined_risk_parity__finance_vader_naive,combined_risk_parity,Combined,Risk Parity,finance_vader_naive,-0.0057598233915301406,0,0,-0.0057598233915301389,True
2021-01-04,combined_risk_parity__evidence_aware_finance,combined_risk_parity,Combined,Risk Parity,evidence_aware_finance,-0.0056504482483419795,0,0,-0.0056504482483419327,True
2021-01-05,equity_equal_weight__plain_vader_naive,equity_equal_weight,Equity,Equal Weight,plain_vader_naive,0.012515168361682396,0,0,0.012515168361682427,False
2021-01-05,equity_equal_weight__finance_vader_naive,equity_equal_weight,Equity,Equal Weight,finance_vader_naive,0.012639803071824758,0,0,0.012639803071824662,False
2021-01-05,equity_equal_weight__evidence_aware_finance,equity_equal_weight,Equity,Equal Weight,evidence_aware_finance,0.012686484608814148,0,0,0.012686484608814164,False
2021-01-05,equity_minimum_variance__plain_vader_naive,equity_minimum_variance,Equity,Minimum Variance,plain_vader_naive,0.0015313152041509274,0,0,0.0015313152041509515,False
2021-01-05,equity_minimum_variance__finance_vader_naive,equity_minimum_variance,Equity,Minimum Variance,finance_vader_naive,0.0015380070583501651,0,0,0.0015380070583501659,False
2021-01-05,equity_minimum_variance__evidence_aware_finance,equity_minimum_variance,Equity,Minimum Variance,evidence_aware_finance,0.0014774740460919457,0,0,0.0014774740460918867,False
2021-01-05,equity_maximum_sharpe__plain_vader_naive,equity_maximum_sharpe,Equity,Maximum Sharpe,plain_vader_naive,0.0067660696546195821,0,0,0.0067660696546196775,False
2021-01-05,equity_maximum_sharpe__finance_vader_naive,equity_maximum_sharpe,Equity,Maximum Sharpe,finance_vader_naive,0.0067489213970228544,0,0,0.0067489213970228779,False
2021-01-05,equity_maximum_sharpe__evidence_aware_finance,equity_maximum_sharpe,Equity,Maximum Sharpe,evidence_aware_finance,0.0065296388114330466,0,0,0.0065296388114330917,False
2021-01-05,equity_risk_parity__plain_vader_naive,equity_risk_parity,Equity,Risk Parity,plain_vader_naive,0.0088556320804105519,0,0,0.0088556320804105138,False
2021-01-05,equity_risk_parity__finance_vader_naive,equity_risk_parity,Equity,Risk Parity,finance_vader_naive,0.0089367456472772278,0,0,0.008936745647277311,False
2021-01-05,equity_risk_parity__evidence_aware_finance,equity_risk_parity,Equity,Risk Parity,evidence_aware_finance,0.0089424555280797208,0,0,0.0089424555280797069,False
2021-01-05,combined_equal_weight__plain_vader_naive,combined_equal_weight,Combined,Equal Weight,plain_vader_naive,0.018750369323620376,0,0,0.018750369323620397,False
2021-01-05,combined_equal_weight__finance_vader_naive,combined_equal_weight,Combined,Equal Weight,finance_vader_naive,0.018852862479492017,0,0,0.018852862479491916,False
2021-01-05,combined_equal_weight__evidence_aware_finance,combined_equal_weight,Combined,Equal Weight,evidence_aware_finance,0.01889101380251482,0,0,0.0188910138025149,False
2021-01-05,combined_minimum_variance__plain_vader_naive,combined_minimum_variance,Combined,Minimum Variance,plain_vader_naive,0.0015313158427334678,0,0,0.0015313158427334717,False
2021-01-05,combined_minimum_variance__finance_vader_naive,combined_minimum_variance,Combined,Minimum Variance,finance_vader_naive,0.0015380076739108105,0,0,0.0015380076739108794,False
2021-01-05,combined_minimum_variance__evidence_aware_finance,combined_minimum_variance,Combined,Minimum Variance,evidence_aware_finance,0.0014774741362724594,0,0,0.0014774741362724164,False
2021-01-05,combined_maximum_sharpe__plain_vader_naive,combined_maximum_sharpe,Combined,Maximum Sharpe,plain_vader_naive,0.044457679280636674,0,0,0.044457679280636597,False
2021-01-05,combined_maximum_sharpe__finance_vader_naive,combined_maximum_sharpe,Combined,Maximum Sharpe,finance_vader_naive,0.044442509119231234,0,0,0.04444250911923131,False
2021-01-05,combined_maximum_sharpe__evidence_aware_finance,combined_maximum_sharpe,Combined,Maximum Sharpe,evidence_aware_finance,0.04427581917247695,0,0,0.044275819172477027,False
2021-01-05,combined_risk_parity__plain_vader_naive,combined_risk_parity,Combined,Risk Parity,plain_vader_naive,0.013396830848344725,0,0,0.013396830848344754,False
2021-01-05,combined_risk_parity__finance_vader_naive,combined_risk_parity,Combined,Risk Parity,finance_vader_naive,0.013469220529299959,0,0,0.013469220529299886,False
2021-01-05,combined_risk_parity__evidence_aware_finance,combined_risk_parity,Combined,Risk Parity,evidence_aware_finance,0.013472148833873092,0,0,0.013472148833873154,False
2021-01-06,equity_equal_weight__plain_vader_naive,equity_equal_weight,Equity,Equal Weight,plain_vader_naive,0.013887141109589284,0,0,0.013887141109589329,False
2021-01-06,equity_equal_weight__finance_vader_naive,equity_equal_weight,Equity,Equal Weight,finance_vader_naive,0.01388161083098308,0,0,0.01388161083098316,False
2021-01-06,equity_equal_weight__evidence_aware_finance,equity_equal_weight,Equity,Equal Weight,evidence_aware_finance,0.013720242762426206,0,0,0.013720242762426116,False
2021-01-06,equity_minimum_variance__plain_vader_naive,equity_minimum_variance,Equity,Minimum Variance,plain_vader_naive,0.0058241279066184636,0,0,0.0058241279066184592,False
2021-01-06,equity_minimum_variance__finance_vader_naive,equity_minimum_variance,Equity,Minimum Variance,finance_vader_naive,0.0058408962338965444,0,0,0.0058408962338964976,False
2021-01-06,equity_minimum_variance__evidence_aware_finance,equity_minimum_variance,Equity,Minimum Variance,evidence_aware_finance,0.0059663784550004701,0,0,0.0059663784550003651,False
2021-01-06,equity_maximum_sharpe__plain_vader_naive,equity_maximum_sharpe,Equity,Maximum Sharpe,plain_vader_naive,-0.01016249558161385,0,0,-0.010162495581613862,False
