overlay_id,base_fund_id,family,method,variant,delta_net_annualised_return,delta_annualised_volatility,delta_net_sharpe_ratio,delta_net_max_drawdown,delta_net_cumulative_return,delta_average_turnover,delta_total_turnover,delta_transaction_cost_drag
equity_equal_weight__plain_vader_naive,equity_equal_weight,Equity,Equal Weight,plain_vader_naive,-0.00062818358883728886,-0.00027405139627359465,-0.002350246009307333,-0.00049090149370445424,-0.0023762416328296787,0.02501895665894539,0.87566348306308717,0.00062285600362543825
equity_equal_weight__finance_vader_naive,equity_equal_weight,Equity,Equal Weight,finance_vader_naive,-0.00064661027409604332,-0.00026943180586358473,-0.0024695452219376524,-0.00063513183353536284,-0.0024459048070173406,0.024704285084425025,0.86464997795487442,0.00061494280399632117
equity_equal_weight__evidence_aware_finance,equity_equal_weight,Equity,Equal Weight,evidence_aware_finance,-0.0011571520574200356,-0.00011995591263558314,-0.0058965098219815326,-0.00018213855311466354,-0.004375136722714501,0.0068144471305057429,0.2385056495676996,0.00016760427565021274
equity_minimum_variance__plain_vader_naive,equity_minimum_variance,Equity,Minimum Variance,plain_vader_naive,0.00092475232860025902,-0.00014973772225376769,0.0073344427855984717,0.0021079086772886335,0.0030682361430007798,0.010448917836064275,0.36571212426224786,0.00022258376653999656
equity_minimum_variance__finance_vader_naive,equity_minimum_variance,Equity,Minimum Variance,finance_vader_naive,0.0019089432264230155,-0.00015045759415688309,0.014698475674503497,0.0013904248737604263,0.0063395647752255702,0.010594333240808135,0.37080166342828225,0.00023440701044813439
equity_minimum_variance__evidence_aware_finance,equity_minimum_variance,Equity,Minimum Variance,evidence_aware_finance,0.00039136107111550911,-8.2564484199409982e-05,0.003157026045393474,0.00055593767352071777,0.0012978439123989549,0.0023249261029699708,0.081372413603946647,5.0996598276731309e-05
equity_maximum_sharpe__plain_vader_naive,equity_maximum_sharpe,Equity,Maximum Sharpe,plain_vader_naive,0.0011067441922649884,-0.0005296285430155534,0.0067952988546143844,-0.0054831968367604067,0.0037050182833893164,0.0074013498651002707,0.25904724527850753,0.00017396410739611845
equity_maximum_sharpe__finance_vader_naive,equity_maximum_sharpe,Equity,Maximum Sharpe,finance_vader_naive,0.003418817283781031,-0.00036458375209447169,0.019193544722582057,-0.0032030198608114513,0.011469949503542409,0.0067315988895970125,0.23560596113589227,0.00020123178021380639
equity_maximum_sharpe__evidence_aware_finance,equity_maximum_sharpe,Equity,Maximum Sharpe,evidence_aware_finance,0.0017399929076120785,-0.00024563033314267679,0.0098542428066701326,-0.0005707112351291399,0.005828392530508042,0.0025495736404406166,0.089235077415418473,8.3672891552533102e-05
equity_risk_parity__plain_vader_naive,equity_risk_parity,Equity,Risk Parity,plain_vader_naive,-0.00022054705789147089,-9.4657642682655085e-05,-0.0010082376863892462,-0.0010010915129377573,-0.00079477112144843431,0.022877433180398102,0.80071016131393336,0.00053033962382698085
equity_risk_parity__finance_vader_naive,equity_risk_parity,Equity,Risk Parity,finance_vader_naive,-0.000164860091555738,-9.4770674284289091e-05,-0.0006574800235665812,-0.0014096888387075679,-0.00059412554340698698,0.022415363232530482,0.78453771313856646,0.00051980737096513074
equity_risk_parity__evidence_aware_finance,equity_risk_parity,Equity,Risk Parity,evidence_aware_finance,-0.00091271091833193541,-5.0126177340736877e-05,-0.0055245787460613816,-0.00053625142058261188,-0.0032870180517496905,0.0061266283444211117,0.21443199205473862,0.00014002523283784818
combined_equal_weight__plain_vader_naive,combined_equal_weight,Combined,Equal Weight,plain_vader_naive,-0.00047349082917633178,-0.00025648178980475222,-0.001265487419483069,0.00095374344545900991,-0.001870774317531021,0.019680294189611071,0.68881029663638693,0.00052296120469996765
combined_equal_weight__finance_vader_naive,combined_equal_weight,Combined,Equal Weight,finance_vader_naive,-0.00046638162662035465,-0.00022562474477108574,-0.001313716934770226,0.0016625139206457029,-0.0018426969916438551,0.019456243368653092,0.68096851790285773,0.00051702058790814576
combined_equal_weight__evidence_aware_finance,combined_equal_weight,Combined,Equal Weight,evidence_aware_finance,-0.0009219213955100336,-9.5263904104109232e-05,-0.0034742323821919108,0.00058222192398788009,-0.0036411243112324243,0.0051230139204185843,0.17930548721464978,0.00013382637964620692
combined_minimum_variance__plain_vader_naive,combined_minimum_variance,Combined,Minimum Variance,plain_vader_naive,0.0009478438104746495,-0.00015368819294167557,0.0075023599825967957,0.0021986864216118618,0.0031446279225486873,0.010524459120863777,0.36835606923022901,0.00022440469443246736
combined_minimum_variance__finance_vader_naive,combined_minimum_variance,Combined,Minimum Variance,finance_vader_naive,0.0019992729856179864,-0.00015710855240957944,0.015361899582745309,0.0014731908500612012,0.006639497619092688,0.010594917225744405,0.37082210290105078,0.00023538478475410018
combined_minimum_variance__evidence_aware_finance,combined_minimum_variance,Combined,Minimum Variance,evidence_aware_finance,0.000430967651812178,-8.3975375378492201e-05,0.0034497841849711608,0.00061050878942653375,0.0014291091889187257,0.0022351076937083825,0.078228769279790278,4.9521350991288404e-05
combined_maximum_sharpe__plain_vader_naive,combined_maximum_sharpe,Combined,Maximum Sharpe,plain_vader_naive,0.00040436295947746115,-0.00032855671033935052,0.002243461150118975,-0.0056437528860806274,0.0016376532964841317,0.006884323588761343,0.24095132560664467,0.00020013240470606597
combined_maximum_sharpe__finance_vader_naive,combined_maximum_sharpe,Combined,Maximum Sharpe,finance_vader_naive,0.0026813958310294705,-0.00015690838203930024,0.010225188157596432,-0.0033666616871843302,0.010880651500157379,0.0065772953958285751,0.23020533885399708,0.00024184039910157829
combined_maximum_sharpe__evidence_aware_finance,combined_maximum_sharpe,Combined,Maximum Sharpe,evidence_aware_finance,0.0014498553512108103,-0.00016126692908946527,0.0057087622556054596,-0.00065116128619577274,0.0058770931464233733,0.0023615826230272696,0.08265539180595205,9.7105435826527753e-05
combined_risk_parity__plain_vader_naive,combined_risk_parity,Combined,Risk Parity,plain_vader_naive,-0.00011525762921227312,-9.3050730083338307e-05,-0.00021106260064496229,-0.00039056607582127478,-0.00044638890108922302,0.020661955143759819,0.72316843003159148,0.00053406123740956657
combined_risk_parity__finance_vader_naive,combined_risk_parity,Combined,Risk Parity,finance_vader_naive,3.0540805500134383e-06,-8.3608913552052355e-05,0.0003889351780373973,-0.00074993200331768817,1.1829571682053786e-05,0.020387497980605962,0.71356242932120661,0.00052742911896314082
combined_risk_parity__evidence_aware_finance,combined_risk_parity,Combined,Risk Parity,evidence_aware_finance,-0.00076833671098408551,-4.3160470114211869e-05,-0.0039740514791734016,-0.00019594875518541555,-0.0029740469192167107,0.0056600786117126239,0.19810275140993983,0.00014413900541770941
