overlay_id,base_fund_id,family,method,variant,start_date,end_date,observations,annualisation,transaction_cost_bps,net_cumulative_return,net_annualised_return,net_annualised_volatility,net_sharpe_ratio,net_max_drawdown,gross_cumulative_return,gross_annualised_return,gross_sharpe_ratio,average_rebalance_turnover,total_turnover,transaction_cost_drag,rebalance_count
equity_equal_weight__plain_vader_naive,equity_equal_weight,Equity,Equal Weight,plain_vader_naive,2021-01-04,2023-12-29,753,252,5,0.42416039407706374,0.12561593015716532,0.16090153736003251,0.81596914072218463,-0.20305679732852067,0.42546342918582813,0.12596048699039186,0.81784298168945158,0.05225823857132559,1.8290383499963956,0.0013030351087643943,36
equity_equal_weight__finance_vader_naive,equity_equal_weight,Equity,Equal Weight,finance_vader_naive,2021-01-04,2023-12-29,753,252,5,0.42409073090287608,0.12559750347190657,0.16090615695044252,0.81584984150955431,-0.20320102766835157,0.42538585281201136,0.12593997962010772,0.8177119810420389,0.051943566996805225,1.8180248448881828,0.0012951219091352772,36
equity_equal_weight__evidence_aware_finance,equity_equal_weight,Equity,Equal Weight,evidence_aware_finance,2021-01-04,2023-12-29,753,252,5,0.42216149898717892,0.12508696168858258,0.16105563284367053,0.81242287690951043,-0.20274803438793088,0.42300928236796809,0.12531137134054782,0.81364188756123301,0.034053729042885943,1.191880516501008,0.00084778338078916882,36
equity_minimum_variance__plain_vader_naive,equity_minimum_variance,Equity,Minimum Variance,plain_vader_naive,2021-01-04,2023-12-29,753,252,5,0.17194866333743009,0.054535104098656362,0.12675367956084463,0.48230429703815697,-0.15076969966412945,0.17510963764752407,0.055486124231683753,0.48936626504936953,0.15391095149162318,5.3868833022068117,0.0031609743100939891,36
equity_minimum_variance__finance_vader_naive,equity_minimum_variance,Equity,Minimum Variance,finance_vader_naive,2021-01-04,2023-12-29,753,252,5,0.17521999196965488,0.055519294996479118,0.12675295968894151,0.489668329927062,-0.15148718346765766,0.178392789523657,0.056472102769224097,0.4967342938246645,0.15405636689636704,5.391972841372846,0.0031727975540021269,36
equity_minimum_variance__evidence_aware_finance,equity_minimum_variance,Equity,Minimum Variance,evidence_aware_finance,2021-01-04,2023-12-29,753,252,5,0.17017827110682826,0.054001712841171612,0.12682085279889899,0.47812688029795197,-0.15232167066789737,0.17316765824865898,0.054902056467042382,0.48481239990702846,0.14578695975852887,5.1025435915485104,0.0029893871418307238,36
equity_maximum_sharpe__plain_vader_naive,equity_maximum_sharpe,Equity,Maximum Sharpe,plain_vader_naive,2021-01-04,2023-12-29,753,252,5,0.1880883647855025,0.059373199205517091,0.17250344939883613,0.42075237845667179,-0.23169618420795801,0.19441672842169244,0.061258276938431333,0.43099127608974624,0.30353687856694567,10.623790749843099,0.0063283636361899376,36
equity_maximum_sharpe__finance_vader_naive,equity_maximum_sharpe,Equity,Maximum Sharpe,finance_vader_naive,2021-01-04,2023-12-29,753,252,5,0.1958532960056556,0.061685272297033134,0.17266849418975722,0.43315062432463947,-0.22941600723200906,0.20220892731466322,0.063570291928653599,0.44335369782276168,0.30286712759144241,10.600349465700484,0.0063556313090076255,36
equity_maximum_sharpe__evidence_aware_finance,equity_maximum_sharpe,Equity,Maximum Sharpe,evidence_aware_finance,2021-01-04,2023-12-29,753,252,5,0.19021173903262123,0.060006447920864181,0.17278744760870901,0.42381132240872754,-0.22678369860632674,0.19644981145296758,0.061862476122598986,0.43386768490294098,0.29868510234228601,10.45397858198001,0.0062380724203463522,36
equity_risk_parity__plain_vader_naive,equity_risk_parity,Equity,Risk Parity,plain_vader_naive,2021-01-04,2023-12-29,753,252,5,0.32474676629161059,0.098684888177369423,0.14518443490981134,0.72088734987547876,-0.18600578405087687,0.32601529001443863,0.099036858582209675,0.72306706036205459,0.054690723780938102,1.9141753323328337,0.001268523722828041,36
