scope,entity,model,metric,value,numerator,denominator,start_date,end_date,notes
fusion_rebalance_equity_asset,all,evidence_aware_finance,active_tilt_frequency,0.50111111111111106,7216,14400,2021-01-04,2023-12-01,Active means abs(multiplier-1) > 1e-15.
fusion_rebalance_equity_asset,all,evidence_aware_finance,active_tilt_max_absolute_multiplier_change,0.24989643701520858,NA,NA,2021-01-04,2023-12-01,Maximum absolute multiplier change.
fusion_rebalance_equity_asset,all,evidence_aware_finance,active_tilt_mean_absolute_multiplier_change,0.037613080575667319,NA,NA,2021-01-04,2023-12-01,Conditional on an active tilt.
fusion_rebalance_equity_asset,all,evidence_aware_finance,multiplier_one_due_missing_signal_rate,0.25333333333333335,3648,14400,2021-01-04,2023-12-01,Missing lagged signal uses multiplier one without carry-forward.
fusion_rebalance_equity_asset,all,finance_vader_naive,active_tilt_frequency,0.7466666666666667,10752,14400,2021-01-04,2023-12-01,Active means abs(multiplier-1) > 1e-15.
fusion_rebalance_equity_asset,all,finance_vader_naive,active_tilt_max_absolute_multiplier_change,0.34985880757600318,NA,NA,2021-01-04,2023-12-01,Maximum absolute multiplier change.
fusion_rebalance_equity_asset,all,finance_vader_naive,active_tilt_mean_absolute_multiplier_change,0.073761618541124174,NA,NA,2021-01-04,2023-12-01,Conditional on an active tilt.
fusion_rebalance_equity_asset,all,finance_vader_naive,multiplier_one_due_missing_signal_rate,0.25333333333333335,3648,14400,2021-01-04,2023-12-01,Missing lagged signal uses multiplier one without carry-forward.
fusion_rebalance_equity_asset,all,plain_vader_naive,active_tilt_frequency,0.7466666666666667,10752,14400,2021-01-04,2023-12-01,Active means abs(multiplier-1) > 1e-15.
fusion_rebalance_equity_asset,all,plain_vader_naive,active_tilt_max_absolute_multiplier_change,0.34985880757600318,NA,NA,2021-01-04,2023-12-01,Maximum absolute multiplier change.
fusion_rebalance_equity_asset,all,plain_vader_naive,active_tilt_mean_absolute_multiplier_change,0.074466655433424372,NA,NA,2021-01-04,2023-12-01,Conditional on an active tilt.
fusion_rebalance_equity_asset,all,plain_vader_naive,multiplier_one_due_missing_signal_rate,0.25333333333333335,3648,14400,2021-01-04,2023-12-01,Missing lagged signal uses multiplier one without carry-forward.
headline,all,finance_vader,custom_finance_term_hit_share,0.1280528502349656,18802,146830,2020-01-02,2023-12-29,"All 23 approved terms count, including zero-valued overrides."
